ticker	name	country
SGO	COMPAGNIE DE SAINT GOBAIN SA	Frankrijk
SHELL	SHELL PLC	Verenigd Koninkrijk
SHL	SIEMENS HEALTHINEERS AG	Duitsland
SIE	SIEMENS N AG	Duitsland
SOF	SOFINA SA	België
SOP	SOPRA STERIA GROUP	Frankrijk
SPIE	SPIE SA	Frankrijk
SPM	SAIPEM	Italië
SRG	SNAM	Italië
SRT3	SARTORIUS PREF AG	Duitsland
STERV	STORA ENSO CLASS R	Finland
STLAM	STELLANTIS NV	Italië
STMMI	STMICROELECTRONICS NV	Frankrijk
SU	SCHNEIDER ELECTRIC	Frankrijk
SW	SODEXO SA	Frankrijk
SXOM6	STOXX EUROPE 600 JUN 26	Europese Unie
SY1	SYMRISE AG	Duitsland
SYENS	SYENSQO NV	België
TE	TECHNIP ENERGIES NV	Frankrijk
TEF	TELEFONICA SA	Spanje
TEG	TAG IMMOBILIEN AG	Duitsland
TEN	TENARIS SA	Italië
TEP	TELEPERFORMANCE	Frankrijk
TIT	TELECOM ITALIA	Italië
TKA	THYSSENKRUPP AG	Duitsland
TLX	TALANX AG	Duitsland
TPRO	TECHNOPROBE SPA	Italië
TRN	TERNA RETE ELETTRICA NAZIONALE	Italië
TTE	TOTALENERGIES	Frankrijk
TUB	FINANCIERE DE TUBIZE SA	België
TUI1	TUI N AG	Verenigd Koninkrijk
UCB	UCB SA	België
UCG	UNICREDIT	Italië
UMG	UNIVERSAL MUSIC GROUP NV	Nederland
UMI	UMICORE SA	België
UNI	UNIPOL ASSICURAZIONI SPA	Italië
UNI	UNICAJA BANCO SA	Spanje
UPM	UPM-KYMMENE	Finland
URW	UNIBAIL RODAMCO WE STAPLED UNITS	Frankrijk
VALMT	VALMET CORP	Finland
VER	VERBUND AG	Oostenrijk
VID	VIDRALA SA	Spanje
VIE	VEOLIA ENVIRON. SA	Frankrijk
VIS	VISCOFAN SA	Spanje
VK	VALLOUREC SA	Frankrijk
VNA	VONOVIA SE	Duitsland
VOE	VOESTALPINE AG	Oostenrijk
VOW3	VOLKSWAGEN NON-VOTING PREF AG	Duitsland
VPK	KONINKLIJKE VOPAK NV	Nederland
VSURE	VERISURE PLC	Zweden
WDP	WAREHOUSES DE PAUW NV	België
WIE	WIENERBERGER AG	Oostenrijk
WKL	WOLTERS KLUWER NV	Nederland
WRT1V	WARTSILA	Finland
ZAL	ZALANDO	Duitsland
